nohup: ignoring input
============================================================
AGIFORMER PHASE 8: Scaling & Emergence (100M)
============================================================

🚀 Initializing Scaled Model...
   Architecture: 12 layers × 768 dim
   Parameters: 129.3M
   Device: cuda

📚 Loading Turkish Wikipedia Data...

⚙️  Training Configuration:
   Batch Size: 2 (effective: 8)
   Max Steps: 50,000
   Target Duration: ~5-7 days on T4

▶️  Starting Training...

Step  1170/50000: Loss=1.8447 | BPC=2.6613 | LR=2.00e-04 | ETA=11.0h
Step  1180/50000: Loss=1.9419 | BPC=2.8016 | LR=2.00e-04 | ETA=11.0h
Step  1190/50000: Loss=1.8482 | BPC=2.6663 | LR=2.00e-04 | ETA=11.0h
Step  1200/50000: Loss=2.0201 | BPC=2.9143 | LR=2.00e-04 | ETA=11.0h
Step  1210/50000: Loss=1.8687 | BPC=2.6960 | LR=2.00e-04 | ETA=11.0h
Step  1220/50000: Loss=1.7428 | BPC=2.5144 | LR=2.00e-04 | ETA=11.0h
Step  1230/50000: Loss=2.0878 | BPC=3.0121 | LR=2.00e-04 | ETA=11.0h
Step  1240/50000: Loss=1.7898 | BPC=2.5821 | LR=2.00e-04 | ETA=11.0h
Step  1250/50000: Loss=2.1483 | BPC=3.0993 | LR=2.00e-04 | ETA=11.0h
Step  1260/50000: Loss=1.7526 | BPC=2.5285 | LR=2.00e-04 | ETA=11.0h
Step  1270/50000: Loss=1.8008 | BPC=2.5980 | LR=2.00e-04 | ETA=11.0h
Step  1280/50000: Loss=2.0044 | BPC=2.8918 | LR=2.00e-04 | ETA=11.0h
Step  1290/50000: Loss=1.8484 | BPC=2.6666 | LR=2.00e-04 | ETA=11.0h
Step  1300/50000: Loss=1.9450 | BPC=2.8060 | LR=2.00e-04 | ETA=11.0h
Step  1310/50000: Loss=1.9328 | BPC=2.7884 | LR=2.00e-04 | ETA=10.9h
Step  1320/50000: Loss=1.8876 | BPC=2.7232 | LR=2.00e-04 | ETA=10.9h
Step  1330/50000: Loss=2.0953 | BPC=3.0228 | LR=2.00e-04 | ETA=10.9h
Step  1340/50000: Loss=1.9137 | BPC=2.7609 | LR=2.00e-04 | ETA=10.9h
Step  1350/50000: Loss=1.7524 | BPC=2.5282 | LR=2.00e-04 | ETA=10.9h
Step  1360/50000: Loss=1.8586 | BPC=2.6814 | LR=2.00e-04 | ETA=10.9h
Step  1370/50000: Loss=2.0416 | BPC=2.9455 | LR=2.00e-04 | ETA=10.9h
Step  1380/50000: Loss=1.8114 | BPC=2.6133 | LR=2.00e-04 | ETA=10.9h
Step  1390/50000: Loss=1.9036 | BPC=2.7464 | LR=2.00e-04 | ETA=10.9h
Step  1400/50000: Loss=1.6783 | BPC=2.4212 | LR=2.00e-04 | ETA=10.9h
Step  1410/50000: Loss=1.7914 | BPC=2.5845 | LR=2.00e-04 | ETA=10.9h
Step  1420/50000: Loss=1.7937 | BPC=2.5878 | LR=2.00e-04 | ETA=10.9h
Step  1430/50000: Loss=1.7612 | BPC=2.5408 | LR=2.00e-04 | ETA=10.9h
Step  1440/50000: Loss=1.9627 | BPC=2.8316 | LR=2.00e-04 | ETA=10.9h
Step  1450/50000: Loss=1.8820 | BPC=2.7152 | LR=2.00e-04 | ETA=10.9h
Step  1460/50000: Loss=1.8334 | BPC=2.6451 | LR=2.00e-04 | ETA=10.9h
Step  1470/50000: Loss=1.8944 | BPC=2.7331 | LR=2.00e-04 | ETA=10.9h
Step  1480/50000: Loss=1.7373 | BPC=2.5064 | LR=2.00e-04 | ETA=10.9h
Step  1490/50000: Loss=2.1367 | BPC=3.0827 | LR=2.00e-04 | ETA=10.9h
Step  1500/50000: Loss=1.9414 | BPC=2.8009 | LR=2.00e-04 | ETA=10.9h
Step  1510/50000: Loss=2.4831 | BPC=3.5823 | LR=2.00e-04 | ETA=10.9h
Step  1520/50000: Loss=1.7239 | BPC=2.4870 | LR=2.00e-04 | ETA=10.9h
Step  1530/50000: Loss=1.6910 | BPC=2.4396 | LR=2.00e-04 | ETA=10.9h
Step  1540/50000: Loss=1.8103 | BPC=2.6118 | LR=2.00e-04 | ETA=10.9h
Step  1550/50000: Loss=2.0999 | BPC=3.0295 | LR=2.00e-04 | ETA=10.9h
Step  1560/50000: Loss=1.5521 | BPC=2.2392 | LR=2.00e-04 | ETA=10.9h
Step  1570/50000: Loss=1.8585 | BPC=2.6813 | LR=2.00e-04 | ETA=10.9h
Step  1580/50000: Loss=1.7453 | BPC=2.5180 | LR=2.00e-04 | ETA=10.9h
Step  1590/50000: Loss=1.7632 | BPC=2.5437 | LR=2.00e-04 | ETA=10.9h
Step  1600/50000: Loss=1.7260 | BPC=2.4901 | LR=2.00e-04 | ETA=10.9h
Step  1610/50000: Loss=1.7032 | BPC=2.4571 | LR=2.00e-04 | ETA=10.8h
Step  1620/50000: Loss=1.8335 | BPC=2.6451 | LR=2.00e-04 | ETA=10.8h
Step  1630/50000: Loss=1.7415 | BPC=2.5124 | LR=2.00e-04 | ETA=10.8h
Step  1640/50000: Loss=1.7926 | BPC=2.5862 | LR=2.00e-04 | ETA=10.8h
Step  1650/50000: Loss=1.6934 | BPC=2.4430 | LR=2.00e-04 | ETA=10.8h
Step  1660/50000: Loss=1.8092 | BPC=2.6102 | LR=2.00e-04 | ETA=10.8h
Step  1670/50000: Loss=1.6439 | BPC=2.3716 | LR=2.00e-04 | ETA=10.8h
Step  1680/50000: Loss=2.0265 | BPC=2.9236 | LR=2.00e-04 | ETA=10.8h
Step  1690/50000: Loss=1.6044 | BPC=2.3147 | LR=2.00e-04 | ETA=10.8h
Step  1700/50000: Loss=2.0625 | BPC=2.9756 | LR=2.00e-04 | ETA=10.8h
Step  1710/50000: Loss=2.6064 | BPC=3.7603 | LR=2.00e-04 | ETA=10.8h
Step  1720/50000: Loss=1.8276 | BPC=2.6367 | LR=2.00e-04 | ETA=10.8h
Step  1730/50000: Loss=1.8238 | BPC=2.6311 | LR=2.00e-04 | ETA=10.8h
Step  1740/50000: Loss=1.8728 | BPC=2.7019 | LR=2.00e-04 | ETA=10.8h
Step  1750/50000: Loss=1.8600 | BPC=2.6835 | LR=2.00e-04 | ETA=10.8h
Step  1760/50000: Loss=1.5168 | BPC=2.1883 | LR=2.00e-04 | ETA=10.8h
Step  1770/50000: Loss=1.7035 | BPC=2.4576 | LR=2.00e-04 | ETA=10.8h
Step  1780/50000: Loss=1.8759 | BPC=2.7063 | LR=2.00e-04 | ETA=10.8h
Step  1790/50000: Loss=1.6441 | BPC=2.3719 | LR=2.00e-04 | ETA=10.8h
Step  1800/50000: Loss=2.0898 | BPC=3.0149 | LR=2.00e-04 | ETA=10.8h
Step  1810/50000: Loss=1.9280 | BPC=2.7815 | LR=2.00e-04 | ETA=10.8h
Step  1820/50000: Loss=1.7444 | BPC=2.5167 | LR=2.00e-04 | ETA=10.8h
Step  1830/50000: Loss=1.6686 | BPC=2.4073 | LR=2.00e-04 | ETA=10.8h
Step  1840/50000: Loss=1.7913 | BPC=2.5843 | LR=2.00e-04 | ETA=10.8h
Step  1850/50000: Loss=1.7931 | BPC=2.5869 | LR=2.00e-04 | ETA=10.8h
Step  1860/50000: Loss=1.6932 | BPC=2.4427 | LR=2.00e-04 | ETA=10.8h
Step  1870/50000: Loss=2.0589 | BPC=2.9703 | LR=2.00e-04 | ETA=10.8h
Step  1880/50000: Loss=1.6116 | BPC=2.3251 | LR=2.00e-04 | ETA=10.8h
Step  1890/50000: Loss=1.8096 | BPC=2.6107 | LR=2.00e-04 | ETA=10.8h
Step  1900/50000: Loss=1.7798 | BPC=2.5678 | LR=2.00e-04 | ETA=10.8h
Step  1910/50000: Loss=1.9051 | BPC=2.7485 | LR=2.00e-04 | ETA=10.8h
Step  1920/50000: Loss=1.6494 | BPC=2.3796 | LR=2.00e-04 | ETA=10.7h
Step  1930/50000: Loss=1.8231 | BPC=2.6302 | LR=2.00e-04 | ETA=10.7h
Step  1940/50000: Loss=1.6769 | BPC=2.4192 | LR=2.00e-04 | ETA=10.7h
Step  1950/50000: Loss=1.7870 | BPC=2.5781 | LR=2.00e-04 | ETA=10.7h
Step  1960/50000: Loss=1.6190 | BPC=2.3357 | LR=2.00e-04 | ETA=10.7h
Step  1970/50000: Loss=1.7879 | BPC=2.5794 | LR=2.00e-04 | ETA=10.7h
Step  1980/50000: Loss=1.7138 | BPC=2.4725 | LR=2.00e-04 | ETA=10.7h
Step  1990/50000: Loss=1.7010 | BPC=2.4541 | LR=2.00e-04 | ETA=10.7h
Step  2000/50000: Loss=1.6046 | BPC=2.3150 | LR=2.00e-04 | ETA=10.7h

-- VALIDATION (Step 2000) --
   Val Loss: 1.6916 | Val BPC: 2.4405
   ✅ Saved best_model_scaled.pth (BPC: 2.4405)
   💾 Saved checkpoint_step_2000.pth

Step  2010/50000: Loss=1.5638 | BPC=2.2561 | LR=2.00e-04 | ETA=10.8h
Step  2020/50000: Loss=1.6655 | BPC=2.4028 | LR=2.00e-04 | ETA=10.8h
Step  2030/50000: Loss=1.5538 | BPC=2.2417 | LR=2.00e-04 | ETA=10.8h
Step  2040/50000: Loss=1.8300 | BPC=2.6401 | LR=2.00e-04 | ETA=10.8h
Step  2050/50000: Loss=1.6815 | BPC=2.4258 | LR=2.00e-04 | ETA=10.8h
Step  2060/50000: Loss=1.9499 | BPC=2.8132 | LR=2.00e-04 | ETA=10.8h
Step  2070/50000: Loss=1.6955 | BPC=2.4461 | LR=2.00e-04 | ETA=10.8h
Step  2080/50000: Loss=1.6477 | BPC=2.3771 | LR=2.00e-04 | ETA=10.8h
Step  2090/50000: Loss=1.8205 | BPC=2.6264 | LR=2.00e-04 | ETA=10.8h
Step  2100/50000: Loss=1.7190 | BPC=2.4800 | LR=2.00e-04 | ETA=10.8h
